#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV10855	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Oribacterium	asaccharolyticum
ASV10856	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	unclassified
ASV10857	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	unclassified
ASV10860	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	unclassified
ASV10861	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	unclassified
ASV10862	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified
ASV10865	Bacteria	Proteobacteria	Gammaproteobacteria	unclassified	unclassified	unclassified	unclassified
ASV10866	Bacteria	Proteobacteria	Gammaproteobacteria	unclassified	unclassified	unclassified	unclassified
ASV10871	Bacteria	Proteobacteria	Gammaproteobacteria	unclassified	unclassified	unclassified	unclassified
ASV10872	Bacteria	Proteobacteria	Gammaproteobacteria	unclassified	unclassified	unclassified	unclassified
ASV10875	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	unclassified	unclassified
ASV10876	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	dentocariosa
ASV10877	Bacteria	Proteobacteria	Gammaproteobacteria	unclassified	unclassified	unclassified	unclassified
ASV10878	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified
ASV10880	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	morbillorum
ASV10882	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	unclassified
ASV10886	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	anginosus
ASV10888	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	pyogenes
ASV10891	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Selenomonas	sputigena
ASV10892	Bacteria	Actinobacteriota	Actinobacteria	unclassified	unclassified	unclassified	unclassified
ASV10893	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	mitis
ASV10897	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	unclassified
ASV10898	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	durum
ASV10900	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	unclassified
ASV10903	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	unclassified	unclassified	unclassified
ASV10905	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	unclassified
ASV10906	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	pacaensis
ASV10907	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	durum
ASV10909	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	unclassified
ASV10911	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	salivarius
ASV10914	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	unclassified
ASV10915	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	unclassified
ASV10916	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	unclassified
ASV10917	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	unclassified
